class,alpha,transform,category,relative_error,cosine_similarity
heart,0.6,translation_x10,translation,0.07650171307781445,0.9971360912390373
heart,0.6,translation_y10,translation,0.049276658175423024,0.9987852398626225
heart,0.6,rotation_10,rotation,0.1692319516733807,0.9858265504518956
heart,0.6,rotation_20,rotation,0.2851848983225953,0.9600624465703019
heart,0.6,scale_0.8,scale,0.20158264988147792,0.9807035992458945
heart,0.6,scale_1.2,scale,0.18970798792074456,0.9832536993702061
heart,0.7,translation_x10,translation,0.07606163382288728,0.9971051962134918
heart,0.7,translation_y10,translation,0.046149718959352395,0.9989358691718493
heart,0.7,rotation_10,rotation,0.15934532376682986,0.9875523854950142
heart,0.7,rotation_20,rotation,0.26458671077338003,0.9655949890849118
heart,0.7,scale_0.8,scale,0.15792247898894052,0.9881753075577232
heart,0.7,scale_1.2,scale,0.18015913738311498,0.984516749643205
heart,0.8,translation_x10,translation,0.07317225663886598,0.997319333779146
heart,0.8,translation_y10,translation,0.04218766294099032,0.9991195978711822
heart,0.8,rotation_10,rotation,0.13632548270085879,0.9908938633188313
heart,0.8,rotation_20,rotation,0.21854703350771298,0.9764334948268727
heart,0.8,scale_0.8,scale,0.11919374120449114,0.9931877954578747
heart,0.8,scale_1.2,scale,0.1767866193250973,0.9849732375713744
heart,0.9,translation_x10,translation,0.0669594108360932,0.9977557105757129
heart,0.9,translation_y10,translation,0.03720028113080434,0.999329771034882
heart,0.9,rotation_10,rotation,0.1298910689647181,0.9916509824362614
heart,0.9,rotation_20,rotation,0.18582946130735767,0.9829870582612448
heart,0.9,scale_0.8,scale,0.10498632398778728,0.9945915638439771
heart,0.9,scale_1.2,scale,0.16527569882177087,0.9869202875662242
heart,1.0,translation_x10,translation,0.05991912794652617,0.9982068405682463
heart,1.0,translation_y10,translation,0.0367342395642552,0.9993556980259994
heart,1.0,rotation_10,rotation,0.14450815967401953,0.9895597397236051
heart,1.0,rotation_20,rotation,0.2074474401534002,0.9786792293141405
heart,1.0,scale_0.8,scale,0.1107915818856781,0.9940009332134887
heart,1.0,scale_1.2,scale,0.15072906875675957,0.9891296819563574
heart,1.1,translation_x10,translation,0.05403113689194684,0.9985435301264692
heart,1.1,translation_y10,translation,0.03574649252866577,0.9993861181673569
heart,1.1,rotation_10,rotation,0.1485663219814199,0.9889024515385311
heart,1.1,rotation_20,rotation,0.24170127879547584,0.9707188718928463
heart,1.1,scale_0.8,scale,0.14590184377325524,0.9894370768121848
heart,1.1,scale_1.2,scale,0.14650539281734626,0.989759486284713
heart,1.2,translation_x10,translation,0.05136587819395496,0.9986801877732013
heart,1.2,translation_y10,translation,0.03156644130710595,0.9995076732501094
heart,1.2,rotation_10,rotation,0.158222014920487,0.987451045586121
heart,1.2,rotation_20,rotation,0.2685705291256971,0.9635424948741382
heart,1.2,scale_0.8,scale,0.1771644070403707,0.9841947800997505
heart,1.2,scale_1.2,scale,0.1430759515196074,0.9903721856735774
heart,1.3,translation_x10,translation,0.053174626571662165,0.9985981907898569
heart,1.3,translation_y10,translation,0.03160381644454015,0.9995006176887863
heart,1.3,rotation_10,rotation,0.16964914871637526,0.9856329398138923
heart,1.3,rotation_20,rotation,0.28349195543671196,0.9591386382983578
heart,1.3,scale_0.8,scale,0.1826547979467001,0.9831846308099498
heart,1.3,scale_1.2,scale,0.13892903746213847,0.991112790582249
heart,1.4,translation_x10,translation,0.05534863626975363,0.9984914579156448
heart,1.4,translation_y10,translation,0.03235614081588102,0.9994781638051065
heart,1.4,rotation_10,rotation,0.1694003915092316,0.985745994697655
heart,1.4,rotation_20,rotation,0.2844246609731559,0.9587382750992887
heart,1.4,scale_0.8,scale,0.17496141165687693,0.9845781191999159
heart,1.4,scale_1.2,scale,0.1356955283698534,0.9916640803000747
heart,1.5,translation_x10,translation,0.05596946010296993,0.9984529907962171
heart,1.5,translation_y10,translation,0.032325811585511,0.9994777328263701
heart,1.5,rotation_10,rotation,0.1595905571655647,0.9873828027787304
heart,1.5,rotation_20,rotation,0.27461612050069206,0.96155394496436
heart,1.5,scale_0.8,scale,0.16528184713410682,0.9865738453370976
heart,1.5,scale_1.2,scale,0.1355588902723662,0.9917561153414465
heart,1.6,translation_x10,translation,0.05591132065128807,0.9984474558688017
heart,1.6,translation_y10,translation,0.03233667900488795,0.9994777516723945
heart,1.6,rotation_10,rotation,0.14448896867414257,0.9896455899198746
heart,1.6,rotation_20,rotation,0.25933009980267036,0.9658054131812364
